"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",3.29802825896093,0.486213150809362,6.78309143525006,1.35589991649798e-10,2.34506799456484,4.25098852335702
"2","dbp",0.0311081089367186,0.00610441898453623,5.09599832769047,8.1350242578968e-07,0.019143667580485,0.0430725502929522
"3","racechinese",0.359963648706382,0.182148797612638,1.97620655982528,0.0495341877981962,0.00295856555833773,0.716968731854428
"4","raceindian",0.713690244037213,0.190882748278239,3.73889338075175,0.000242524797161407,0.339566932141839,1.08781355593259
