"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",1.21623893286052e-05,1.00749194246463,-11.2330051813651,2.80763741246146e-29,6.88561377661107e-07,5.48813565198385e-05
"2","cigar_day",1.06647775464202,0.00640135191327975,10.0543449729728,8.79040574307973e-24,1.05322958228764,1.08001127789952
"3","smoke_yrs20-24",2.61801729562098,1.15469362615861,0.833482797590857,0.404572495677248,0.335095246197217,52.9336533355539
"4","smoke_yrs25-29",5.53390644418642,1.08042007150823,1.58354516053479,0.113297261933375,0.94424831983425,104.559153825599
"5","smoke_yrs30-34",24.721573720076,1.0203781751336,3.14361515225329,0.00166874744763617,5.23281239915028,441.970994322348
"6","smoke_yrs35-39",25.6047127637345,1.02418664185557,3.16619675980238,0.00154446284703101,5.34903663521609,459.391847861526
"7","smoke_yrs40-44",67.2462398653514,1.0137257818899,4.15138016544294,3.30476289488328e-05,14.5702518081137,1194.74012317731
"8","smoke_yrs45-49",85.5389328494615,1.01705425466251,4.37437000717416,1.21783666794878e-05,18.3184889215907,1524.50158007272
"9","smoke_yrs50-54",133.442891067639,1.01994468272782,4.79797942665133,1.60274236503456e-06,28.2853112367946,2384.69311040107
"10","smoke_yrs55-59",215.422276648097,1.02340355217304,5.24973766983175,1.52315964051074e-07,45.1134852627094,3862.13623428499
